1 -41.390000 0.000000 -42.000020, 0.000000 0.000000 0.000000 1.000000 1.000000 2.000000 
2 -45.120000 0.000000 -33.000020, 0.000000 180.000000 0.000000 1.000000 1.000000 2.000000 
3 -50.290000 0.000000 -40.900020, 0.000000 270.000000 0.000000 1.000000 0.700000 1.000000 
4 -52.200000 0.000000 -35.710010, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
5 -52.862510 3.243366 -35.200300, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
6 -52.862510 3.184669 -35.200300, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
7 -52.862640 2.640717 -35.205770, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
8 -52.815880 2.428280 -35.280480, 0.000000 300.000000 0.000000 2.000000 1.000000 2.000000 
9 -52.912660 2.428280 -35.277950, 0.000000 60.000000 0.000000 2.000000 1.000000 2.000000 
10 -52.866140 2.428280 -35.158800, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
11 -52.867420 3.243752 -35.328380, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
12 -52.195680 3.243752 -35.194290, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
13 -52.173370 1.414131 -35.225620, 0.000000 180.000000 0.000000 2.000000 1.000000 2.000000 
14 -23.470000 0.000000 -37.920010, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
15 -23.215140 3.243366 -37.588760, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
16 -23.215140 3.184669 -37.588770, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
17 -23.217870 2.640717 -37.588710, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
18 -23.255220 2.428280 -37.612100, 0.000000 30.000000 0.000000 1.000000 1.000000 1.000000 
19 -23.253950 2.428280 -37.563710, 0.000000 150.000000 0.000000 1.000000 1.000000 1.000000 
20 -23.194380 2.428280 -37.586970, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
21 -23.279180 3.243752 -37.586310, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
22 -23.212140 3.243752 -37.922180, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
23 -23.227790 1.414131 -37.933340, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
24 -23.470000 0.000000 -34.270010, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
25 -23.215140 3.243366 -33.938760, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
26 -23.215140 3.184669 -33.938770, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
27 -23.217870 2.640717 -33.938710, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
28 -23.255220 2.428280 -33.962100, 0.000000 30.000000 0.000000 1.000000 1.000000 1.000000 
29 -23.253950 2.428280 -33.913710, 0.000000 150.000000 0.000000 1.000000 1.000000 1.000000 
30 -23.194380 2.428280 -33.936970, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
31 -23.279180 3.243752 -33.936310, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
32 -23.212140 3.243752 -34.272180, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
33 -23.227790 1.414131 -34.283340, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
34 -23.470000 0.000000 -36.010010, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
35 -23.215140 3.243366 -35.678760, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
36 -23.215140 3.184669 -35.678770, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
37 -23.217870 2.640717 -35.678710, 0.000000 270.000000 0.000000 1.000013 1.000000 1.000013 
38 -23.255220 2.428280 -35.702100, 0.000000 30.000000 0.000000 1.000012 1.000000 1.000012 
39 -23.253950 2.428280 -35.653710, 0.000000 150.000000 0.000000 1.000016 1.000000 1.000016 
40 -23.194380 2.428280 -35.676970, 0.000000 270.000000 0.000000 1.000016 1.000000 1.000016 
41 -23.279180 3.243752 -35.676310, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
42 -23.212140 3.243752 -36.012180, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
43 -23.227790 1.414131 -36.023340, 0.000000 270.000000 0.000000 1.000000 1.000000 1.000000 
44 -28.980000 0.000000 -34.270010, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
45 -29.234860 3.243366 -34.601280, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
46 -29.234860 3.184669 -34.601280, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
47 -29.232130 2.640717 -34.601360, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
48 -29.194780 2.428280 -34.577980, 0.000000 210.000000 0.000000 1.000000 1.000000 1.000000 
49 -29.196040 2.428280 -34.626370, 0.000000 330.000000 0.000000 1.000000 1.000000 1.000000 
50 -29.255620 2.428280 -34.603120, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
51 -29.170820 3.243752 -34.603730, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
52 -29.237860 3.243752 -34.267860, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
53 -29.222200 1.414131 -34.256700, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
54 -28.980000 0.000000 -36.010010, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
55 -29.234860 3.243366 -36.341280, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
56 -29.234860 3.184669 -36.341280, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
57 -29.232130 2.640717 -36.341350, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
58 -29.194780 2.428280 -36.317980, 0.000000 210.000000 0.000000 1.000000 1.000000 1.000000 
59 -29.196040 2.428280 -36.366370, 0.000000 330.000000 0.000000 1.000000 1.000000 1.000000 
60 -29.255620 2.428280 -36.343110, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
61 -29.170820 3.243752 -36.343730, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
62 -29.237860 3.243752 -36.007860, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
63 -29.222200 1.414131 -35.996700, 0.000000 90.000000 0.000000 1.000000 1.000000 1.000000 
64 -36.900000 0.000000 2.100001, 0.000000 270.000000 0.000000 1.000000 0.700000 1.000000 
65 33.000000 0.000000 15.880010, 0.000000 0.000000 0.000000 3.000000 3.000000 3.000000 
66 57.070000 0.000000 15.820010, 0.000000 0.000000 0.000000 3.000000 3.000000 3.000000 
67 57.070000 0.000000 23.200010, 0.000000 0.000000 0.000000 3.000000 3.000000 3.000000 
68 43.600000 0.000000 2.100001, 0.000000 270.000000 0.000000 1.000000 0.700000 1.000000 
69 38.630000 0.000000 18.726000, 0.000000 0.000000 0.000000 1.000000 0.700000 1.000000 
70 45.676000 0.000000 18.726000, 0.000000 0.000000 0.000000 1.000000 0.700000 1.000000 
71 42.149530 0.000000 18.727010, 0.000000 0.000000 0.000000 1.000000 0.700000 1.000000 
72 40.354000 0.000000 16.800010, 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 
73 47.400000 0.000000 16.800010, 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 
74 46.900000 0.000000 2.100001, 0.000000 90.000000 0.000000 1.000000 0.700000 1.000000 
75 45.500000 0.000000 4.000000, 0.000000 0.000000 0.000000 1.000000 0.700000 1.000000 
76 45.500000 0.000000 -4.000000, 0.000000 180.000000 0.000000 1.000000 0.700000 1.000000 
77 40.500000 0.000000 10.500000, 0.000000 0.000000 0.000000 1.000000 0.700000 1.000000 
